代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11245972.0000000000
真實報酬,1245972.0000000000
趨勢值,0.1170040231

選擇檔數,1
找到最佳解世代,1968
找到最佳解實驗,1
Stock#,WMT,
分配資金,10000000,
張數,169520,
剩餘資金,15.1999999997,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9891507.1999999993,9891507.1999999993,
FS(3),10008476.0000000000,10008476.0000000000,
FS(4),10113578.3999999985,10113578.3999999985,
FS(5),10255975.1999999993,10255975.1999999993,
FS(6),10105102.3999999985,10105102.3999999985,
FS(7),10023732.7999999989,10023732.7999999989,
FS(8),10096626.4000000004,10096626.4000000004,
FS(9),10062722.3999999985,10062722.3999999985,
FS(10),10237328.0000000000,10237328.0000000000,
FS(11),10110188.0000000000,10110188.0000000000,
FS(12),10222071.1999999993,10222071.1999999993,
FS(13),9998304.7999999989,9998304.7999999989,
FS(14),9976267.1999999993,9976267.1999999993,
FS(15),10094931.1999999993,10094931.1999999993,
FS(16),10262756.0000000000,10262756.0000000000,
FS(17),10355992.0000000000,10355992.0000000000,
FS(18),10311916.7999999989,10311916.7999999989,
FS(19),10298355.1999999993,10298355.1999999993,
FS(20),10444142.3999999985,10444142.3999999985,
FS(21),10456008.7999999989,10456008.7999999989,
FS(22),10391591.1999999993,10391591.1999999993,
FS(23),10418714.3999999985,10418714.3999999985,
FS(24),10666213.5999999996,10666213.5999999996,
FS(25),10773011.1999999993,10773011.1999999993,
FS(26),11023900.7999999989,11023900.7999999989,
FS(27),10771316.0000000000,10771316.0000000000,
FS(28),10886589.5999999996,10886589.5999999996,
FS(29),10784877.5999999996,10784877.5999999996,
FS(30),10496693.5999999996,10496693.5999999996,
FS(31),10689946.4000000004,10689946.4000000004,
FS(32),10498388.7999999989,10498388.7999999989,
FS(33),10605186.4000000004,10605186.4000000004,
FS(34),10313612.0000000000,10313612.0000000000,
FS(35),10489912.7999999989,10489912.7999999989,
FS(36),10627223.9999999981,10627223.9999999981,
FS(37),10756059.1999999993,10756059.1999999993,
FS(38),10849295.1999999993,10849295.1999999993,
FS(39),10840819.1999999993,10840819.1999999993,
FS(40),10886589.5999999996,10886589.5999999996,
FS(41),11249362.3999999985,11249362.3999999985,
FS(42),11442615.1999999993,11442615.1999999993,
FS(43),11334122.3999999985,11334122.3999999985,
FS(44),11234105.5999999978,11234105.5999999978,
FS(45),11259533.5999999996,11259533.5999999996,
FS(46),11357855.1999999993,11357855.1999999993,
FS(47),11340903.2000000011,11340903.2000000011,
FS(48),11156126.4000000004,11156126.4000000004,
FS(49),11152736.0000000000,11152736.0000000000,
FS(50),11073061.5999999978,11073061.5999999978,
FS(51),11218848.8000000007,11218848.8000000007,
FS(52),11171383.2000000011,11171383.2000000011,
FS(53),11206982.3999999985,11206982.3999999985,
FS(54),10869637.5999999996,10869637.5999999996,
FS(55),10961178.3999999985,10961178.3999999985,
FS(56),11125612.7999999989,11125612.7999999989,
FS(57),11269704.8000000007,11269704.8000000007,
FS(58),11378197.5999999996,11378197.5999999996,
FS(59),11534156.0000000000,11534156.0000000000,
FS(60),11274790.4000000004,11274790.4000000004,
FS(61),11245972.0000000000,11245972.0000000000,
