代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13301992.7099999990
真實報酬,3301992.7099999990
趨勢值,0.1956021535

選擇檔數,4
找到最佳解世代,2106
找到最佳解實驗,1
Stock#,AAPL,BA,DD,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,42764,24215,54019,80205,
剩餘資金,16.5600000000,43.4000000001,0.6799999999,10.1499999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2556448.4800000000,2457139.4499999997,2495678.4800000004,2511228.6999999997,10020495.1099999994,
FS(3),2570560.6000000001,2491524.7500000000,2494598.1000000001,2520853.2999999998,10077536.7499999981,
FS(4),2550033.8800000004,2523246.3999999999,2514585.1299999999,2552133.2500000000,10139998.6600000001,
FS(5),2535494.1200000001,2527362.9500000002,2545375.9600000000,2555341.4499999997,10163574.4800000004,
FS(6),2580396.3200000003,2534869.6000000001,2617221.2300000004,2564164.0000000000,10296651.1499999985,
FS(7),2570132.9600000000,2554725.8999999999,2599394.9600000000,2550529.1499999999,10274782.9700000007,
FS(8),2610331.1200000001,2588142.5999999996,2630725.9800000004,2555341.4499999997,10384541.1499999985,
FS(9),2605627.0800000001,2466825.4500000002,2624783.8900000001,2553737.3500000001,10250973.7699999996,
FS(10),2611186.4000000004,2558600.2999999998,2646391.4900000002,2540904.5499999998,10357082.7400000002,
FS(11),2628292.0000000000,2523972.8500000001,2613439.9000000004,2514436.8999999999,10280141.6499999985,
FS(12),2628719.6400000001,2537533.2500000000,2671780.4200000004,2540102.5000000000,10378135.8100000005,
FS(13),2637700.0800000001,2606303.8499999996,2660436.4300000002,2539300.4499999997,10443740.8099999987,
FS(14),2596219.0000000000,2590079.7999999998,2666918.7100000000,2540904.5499999998,10394122.0599999987,
FS(15),2604344.1600000001,2587658.2999999998,2660976.6200000001,2538498.3999999999,10391477.4799999986,
FS(16),2559869.6000000001,2610178.2500000000,2657735.4800000004,2534488.1499999999,10362271.4800000004,
FS(17),2691155.0800000001,2589837.6499999999,2644230.7300000004,2512030.7500000000,10437254.2099999990,
FS(18),2678753.5200000000,2583783.8999999999,2691767.4500000002,2506416.3999999999,10460721.2699999996,
FS(19),2694148.5600000001,2557147.3999999999,2669619.6600000001,2508020.5000000000,10428936.1199999992,
FS(20),2735629.6400000001,2538017.5499999998,2692307.6400000001,2515238.9499999997,10481193.7799999993,
FS(21),2769413.2000000002,2560295.3500000001,2697169.3500000001,2520853.2999999998,10547731.1999999993,
FS(22),2764709.1600000001,2545039.8999999999,2695548.7800000003,2523259.4500000002,10528557.2899999991,
FS(23),2789939.9199999999,2583783.8999999999,2723098.4700000002,2645973.1000000001,10742795.3899999987,
FS(24),2825861.6800000002,2612841.8999999999,2786300.7000000002,2658805.8999999999,10883810.1799999978,
FS(25),2867770.4000000004,2603155.8999999999,2806287.7300000004,2662816.1499999999,10940030.1799999997,
FS(26),2842112.0000000000,2592017.0000000000,2773876.3300000001,2668430.5000000000,10876435.8300000001,
FS(27),2840829.0800000005,2577003.6999999997,2791702.6000000001,2632338.2500000000,10841873.6299999990,
FS(28),2816453.6000000001,2562959.0000000000,2839239.3200000003,2649181.2999999998,10867833.2199999988,
FS(29),2776255.4399999999,2550609.3500000001,2926209.9100000001,2659607.9499999997,10912682.6499999985,
FS(30),2855368.8399999999,2524215.0000000000,2882994.7100000000,2667628.4499999997,10930207.0000000000,
FS(31),2990930.7199999997,2572402.8500000001,2913785.5400000000,2639556.6999999997,11116675.8099999968,
FS(32),3045241.0000000000,2522277.7999999998,2904062.1200000001,2580205.0000000000,11051785.9199999981,
FS(33),3041819.8799999999,2487650.3500000001,2858145.9700000002,2546518.8999999999,10934135.0999999978,
FS(34),3068761.2000000002,2505569.4499999997,2837618.7500000000,2552935.2999999998,10964884.6999999993,
FS(35),3101689.4800000000,2535838.1999999997,2817631.7200000002,2594641.8999999999,11049801.2999999989,
FS(36),3061063.6800000002,2533658.8499999996,2842480.4600000000,2592235.7500000000,11029438.7399999984,
FS(37),3069188.8399999999,2516224.0499999998,2857065.5900000003,2572184.5000000000,11014662.9799999986,
FS(38),3072609.9600000000,2546008.5000000000,2860846.9200000004,2601058.2999999998,11080523.6799999997,
FS(39),3060636.0399999996,2554241.6000000001,2980228.9100000001,2574590.6499999999,11169697.1999999993,
FS(40),3072609.9600000000,2555452.3500000001,2973206.4399999999,2563361.9500000002,11164630.6999999993,
FS(41),2984943.7599999998,2499273.5499999998,2889476.9900000002,2519249.1999999997,10892943.5000000000,
FS(42),2999055.8799999999,2500726.4499999997,2880833.9500000002,2541706.6000000001,10922322.8799999990,
FS(43),3003759.9199999999,2540923.3500000001,2886235.8500000001,2545716.8499999996,10976635.9699999988,
FS(44),2976390.9600000000,2516466.1999999997,2877052.6200000001,2519249.1999999997,10889158.9799999986,
FS(45),2984943.7599999998,2542860.5499999998,2880293.7600000002,2578600.8999999999,10986698.9699999988,
FS(46),3046523.9199999999,2575792.9500000002,2906222.8799999999,2612287.0000000000,11140826.7499999981,
FS(47),3025569.5600000001,2582573.1499999999,2954839.9800000004,2621911.5999999996,11184894.2899999991,
FS(48),3043530.4399999999,2568528.4499999997,2966183.9700000002,2605870.6000000001,11184113.4599999972,
FS(49),3092281.4000000004,2595649.2500000000,2985630.8100000005,2622713.6499999999,11296275.1099999994,
FS(50),3021720.7999999998,2619379.9499999997,3075842.5400000000,2679659.1999999997,11396602.4899999984,
FS(51),2857507.0399999996,2645047.8500000001,3065578.9300000002,2710939.1499999999,11279072.9699999988,
FS(52),2887869.4800000000,2658850.3999999999,2989412.1400000001,2730188.3499999996,11266320.3699999992,
FS(53),2839973.7999999998,2695899.3500000001,3067199.5000000000,2723771.9500000002,11326844.5999999996,
FS(54),2749741.7599999998,2800992.4499999997,3061797.6000000001,2735000.6499999999,11347532.4599999990,
FS(55),2781814.7599999998,2835862.0499999998,3054775.1299999999,2739812.9499999997,11412264.8899999969,
FS(56),2838690.8799999999,2867099.3999999999,3143366.2900000000,2786331.8500000001,11635488.4199999981,
FS(57),2885303.6400000001,2882597.0000000000,3123919.4500000002,2787133.8999999999,11678953.9900000002,
FS(58),2855368.8399999999,2824238.8499999996,3054234.9399999999,2782321.5999999996,11516164.2299999986,
FS(59),2997345.3200000003,2845548.0499999998,3018582.4000000004,2766280.6000000001,11627756.3699999992,
FS(60),2987937.2400000002,2881628.3999999999,3008858.9800000004,2784727.7500000000,11663152.3699999992,
FS(61),2941752.1200000001,2869763.0499999998,3066119.1200000001,2763874.4500000002,11641508.7400000002,
FS(62),2970404.0000000000,2890830.0999999996,3076382.7300000004,2820820.0000000000,11758436.8299999982,
FS(63),2949022.0000000000,2875332.5000000000,3001836.5100000002,2953158.2500000000,11779349.2599999979,
FS(64),2912672.6000000001,2845305.8999999999,2954299.7900000000,2913055.7500000000,11625334.0399999991,
FS(65),2981095.0000000000,2851359.6499999999,2947277.3200000003,2904233.2000000002,11683965.1699999999,
FS(66),2990930.7199999997,2853539.0000000000,2976987.7700000000,2883379.8999999999,11704837.3899999987,
FS(67),2953298.4000000004,2790580.0000000000,2982389.6700000004,2872953.2500000000,11599221.3199999984,
FS(68),2950732.5600000001,2838041.3999999999,3076382.7300000004,2893004.5000000000,11758161.1899999995,
FS(69),2979812.0800000005,2825691.7500000000,3027225.4399999999,2860922.5000000000,11693651.7699999996,
FS(70),2938331.0000000000,2795423.0000000000,2963483.0200000000,2818413.8500000001,11515650.8699999992,
FS(71),2972542.2000000002,2771934.4499999997,2994273.8500000001,2843277.3999999999,11582027.9000000004,
FS(72),2991358.3600000003,2879206.8999999999,3107713.7500000000,2945137.7500000000,11923416.7599999998,
FS(73),3010602.1600000001,2856929.1000000001,3159571.9900000002,2945939.7999999998,11973043.0499999989,
FS(74),3030273.6000000001,2892767.2999999998,3140125.1500000004,2970001.2999999998,12033167.3499999996,
FS(75),3046523.9199999999,2861772.1000000001,3110414.7000000002,2955564.3999999999,11974275.1199999992,
FS(76),3061491.3200000003,2914076.5000000000,3163893.5100000002,2988448.4499999997,12127909.7799999993,
FS(77),3082018.0399999996,2961295.7500000000,3183880.5400000000,2989250.5000000000,12216444.8299999982,
FS(78),3108959.3600000003,2966865.1999999997,3177938.4500000002,3045394.0000000000,12299157.0099999998,
FS(79),3185079.2800000003,2941439.4499999997,3181719.7800000003,3051810.3999999999,12360048.9100000001,
