代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11089611.5999999996
真實報酬,1089611.5999999996
趨勢值,0.0280383689

選擇檔數,1
找到最佳解世代,2421
找到最佳解實驗,1
Stock#,IBM,
分配資金,10000000,
張數,114455,
剩餘資金,66.6499999995,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9937049.7500000000,9937049.7500000000,
FS(3),10212886.3000000007,10212886.3000000007,
FS(4),10048071.1000000015,10048071.1000000015,
FS(5),9978253.5500000007,9978253.5500000007,
FS(6),9694405.1500000004,9694405.1500000004,
FS(7),9810004.6999999993,9810004.6999999993,
FS(8),9767656.3500000015,9767656.3500000015,
FS(9),9521578.0999999996,9521578.0999999996,
FS(10),9628021.2500000000,9628021.2500000000,
FS(11),9719585.2500000000,9719585.2500000000,
FS(12),9383087.5500000007,9383087.5500000007,
FS(13),10463542.7500000000,10463542.7500000000,
FS(14),10309028.5000000000,10309028.5000000000,
FS(15),10242644.5999999996,10242644.5999999996,
FS(16),10484144.6500000004,10484144.6500000004,
FS(17),10491011.9499999993,10491011.9499999993,
FS(18),10852689.7500000000,10852689.7500000000,
FS(19),10588298.7000000011,10588298.7000000011,
FS(20),10489867.4000000004,10489867.4000000004,
FS(21),10407459.8000000007,10407459.8000000007,
FS(22),10699320.0500000007,10699320.0500000007,
FS(23),10624924.3000000007,10624924.3000000007,
FS(24),10576853.1999999993,10576853.1999999993,
FS(25),11003770.3499999996,11003770.3499999996,
FS(26),11081599.7500000000,11081599.7500000000,
FS(27),10675284.5000000000,10675284.5000000000,
FS(28),10891604.4499999993,10891604.4499999993,
FS(29),10881303.5000000000,10881303.5000000000,
FS(30),10740523.8500000015,10740523.8500000015,
FS(31),10377701.5000000000,10377701.5000000000,
FS(32),10473843.7000000011,10473843.7000000011,
FS(33),10178549.8000000007,10178549.8000000007,
FS(34),10162526.1000000015,10162526.1000000015,
FS(35),9656635.0000000000,9656635.0000000000,
FS(36),9888978.6500000004,9888978.6500000004,
FS(37),9831751.1500000004,9831751.1500000004,
FS(38),10183128.0000000000,10183128.0000000000,
FS(39),10533360.3000000007,10533360.3000000007,
FS(40),10192284.4000000004,10192284.4000000004,
FS(41),10045782.0000000000,10045782.0000000000,
FS(42),10242644.5999999996,10242644.5999999996,
FS(43),10012590.0500000007,10012590.0500000007,
FS(44),9821450.2000000011,9821450.2000000011,
FS(45),9554770.0500000007,9554770.0500000007,
FS(46),9986265.4000000004,9986265.4000000004,
FS(47),10143068.7500000000,10143068.7500000000,
FS(48),10346798.6500000004,10346798.6500000004,
FS(49),10342220.4500000011,10342220.4500000011,
FS(50),10440651.7500000000,10440651.7500000000,
FS(51),10634080.6999999993,10634080.6999999993,
FS(52),10524203.9000000004,10524203.9000000004,
FS(53),10605466.9499999993,10605466.9499999993,
FS(54),10588298.7000000011,10588298.7000000011,
FS(55),11297919.6999999993,11297919.6999999993,
FS(56),11250993.1500000004,11250993.1500000004,
FS(57),11210933.9000000004,11210933.9000000004,
FS(58),11305931.5500000007,11305931.5500000007,
FS(59),10776004.9000000004,10776004.9000000004,
FS(60),10818353.2500000000,10818353.2500000000,
FS(61),11089611.5999999996,11089611.5999999996,
