初始資金,10000000
最後資金,11649545.5000000000
真實報酬,1649545.5000000000

二次趨勢線,-118.6056725563x^2 + 30400.2762428744x + 10000000
加權每日預期報酬,20674.6110932577
風險,155352.2080632287
二次趨勢值,0.1330821837

平均每日預期報酬,377.8151564653
風險,155352.2080632287
二次趨勢值,0.0024319909

一次趨勢線,24929.9511988753x + 10000000
每日預期報酬,24929.9511988753
風險,163306.5011198886
一次趨勢值,0.1526574327

投資組合檔數,1
Stock#,V,
FS(1),10000000.0000000000,
FS(2),9928415.9499999993,
FS(3),10077808.7500000000,
FS(4),10093370.5000000000,
FS(5),10012449.4000000004,
FS(6),10230313.8999999985,
FS(7),10385931.3999999985,
FS(8),10501088.3499999996,
FS(9),10445066.0500000007,
FS(10),10417054.8999999985,
FS(11),10401493.1500000004,
FS(12),10488638.9499999993,
FS(13),10473077.1999999993,
FS(14),10504200.6999999993,
FS(15),10407717.8499999978,
FS(16),10469964.8499999996,
FS(17),10311235.0000000000,
FS(18),10420167.2499999981,
FS(19),10448178.3999999985,
FS(20),10638031.7500000000,
FS(21),10582009.4499999993,
FS(22),10778087.5000000000,
FS(23),10868345.6500000004,
FS(24),10915030.8999999985,
FS(25),10793649.2500000000,
FS(26),10641144.0999999978,
FS(27),10690941.6999999993,
FS(28),10818548.0499999989,
FS(29),10824772.7500000000,
FS(30),10883907.3999999985,
FS(31),10983502.5999999996,
FS(32),11092434.8499999996,
FS(33),11039524.8999999985,
FS(34),10890132.0999999996,
FS(35),10815435.6999999993,
FS(36),10631807.0499999989,
FS(37),10619357.6499999985,
FS(38),10703391.0999999996,
FS(39),10762525.7499999981,
FS(40),10796761.5999999978,
FS(41),11195142.3999999985,
FS(42),11157794.1999999993,
FS(43),11011513.7500000000,
FS(44),11195142.3999999985,
FS(45),11092434.8499999996,
FS(46),11055086.6500000004,
FS(47),11120445.9999999981,
FS(48),11145344.8000000007,
FS(49),11083097.7999999989,
FS(50),10890132.0999999996,
FS(51),10893244.4499999993,
FS(52),11104884.2500000000,
FS(53),11332085.7999999989,
FS(54),11388108.0999999996,
FS(55),11413006.9000000004,
FS(56),11525051.5000000000,
FS(57),11456579.8000000007,
FS(58),11422343.9499999993,
FS(59),11459692.1499999985,
FS(60),11531276.1999999993,
FS(61),11649545.5000000000,
