初始資金,10000000
最後資金,10560436.3400000017
真實報酬,560436.3400000017

二次趨勢線,598.7062202389x^2 + -19849.7877747665x + 10000000
加權每日預期報酬,27647.5723641839
風險,172259.1954705694
二次趨勢值,0.1604998345

平均每日預期報酬,272.4167023655
風險,172259.1954705694
二次趨勢值,0.0015814349

一次趨勢線,6865.5906241276x + 10000000
每日預期報酬,6865.5906241276
風險,293722.6685041609
一次趨勢值,0.0233743982

投資組合檔數,1
Stock#,PG,
FS(1),10000000.0000000000,
FS(2),9998928.4200000018,
FS(3),10024646.3400000017,
FS(4),9906772.5400000010,
FS(5),9968924.1800000016,
FS(6),10063223.2200000007,
FS(7),10076082.1800000016,
FS(8),10339690.8600000013,
FS(9),10355764.5600000005,
FS(10),9941063.1000000015,
FS(11),9911058.8600000013,
FS(12),9832833.5200000014,
FS(13),9749250.2800000012,
FS(14),9748178.7000000011,
FS(15),9361338.3200000022,
FS(16),9653879.6600000020,
FS(17),9860694.6000000015,
FS(18),9770681.8800000027,
FS(19),9849978.8000000007,
FS(20),9781397.6800000016,
FS(21),9712816.5600000005,
FS(22),9911058.8600000013,
FS(23),9871410.4000000022,
FS(24),9907844.1200000010,
FS(25),9746035.5400000010,
FS(26),9769610.3000000007,
FS(27),9833905.1000000015,
FS(28),9767467.1400000025,
FS(29),9859623.0200000014,
FS(30),9791041.9000000022,
FS(31),9712816.5600000005,
FS(32),9796399.8000000007,
FS(33),9691384.9600000009,
FS(34),10162880.1600000020,
FS(35),10105014.8400000017,
FS(36),10030004.2400000002,
FS(37),10021431.6000000015,
FS(38),10023574.7600000016,
FS(39),10128589.6000000015,
FS(40),10337547.7000000011,
FS(41),10444705.7000000011,
FS(42),10504714.1800000016,
FS(43),10441490.9600000009,
FS(44),10492926.8000000007,
FS(45),10409343.5600000005,
FS(46),10470423.6200000010,
FS(47),10530432.1000000015,
FS(48),10636518.5200000014,
FS(49),10634375.3600000013,
FS(50),10550792.1200000010,
FS(51),10552935.2800000012,
FS(52),10714743.8600000013,
FS(53),10638661.6800000016,
FS(54),10692240.6800000016,
FS(55),10742604.9400000013,
FS(56),10669737.5000000000,
FS(57),10697598.5800000019,
FS(58),10599013.2200000007,
FS(59),10560436.3400000017,
