初始資金,10000000
最後資金,12521439.2500000000
真實報酬,2521439.2500000000

二次趨勢線,6.6116403400x^2 + 38426.2137312305x + 10000000
加權每日預期報酬,38985.9992800210
風險,189828.0198826765
二次趨勢值,0.2053753672

平均每日預期報酬,616.6564875078
風險,189828.0198826765
二次趨勢值,0.0032485009

一次趨勢線,38741.0735798650x + 10000000
每日預期報酬,38741.0735798650
風險,189851.5928794602
一次趨勢值,0.2040597763

投資組合檔數,1
Stock#,WBA,
FS(1),10000000.0000000000,
FS(2),10091688.6999999974,
FS(3),10060632.8499999996,
FS(4),10084294.4499999993,
FS(5),10174504.2999999989,
FS(6),10165631.1999999974,
FS(7),10408162.5999999978,
FS(8),10422951.0999999996,
FS(9),10393374.0999999996,
FS(10),10418514.5499999989,
FS(11),10482105.0999999978,
FS(12),10541259.0999999996,
FS(13),10779353.9499999993,
FS(14),10795621.2999999989,
FS(15),10677313.2999999989,
FS(16),10678792.1499999985,
FS(17),10789705.8999999985,
FS(18),10915408.1499999985,
FS(19),10780832.7999999989,
FS(20),10715763.3999999985,
FS(21),10868084.9499999974,
FS(22),10913929.2999999989,
FS(23),10845902.1999999993,
FS(24),10723157.6500000004,
FS(25),10965689.0499999989,
FS(26),10878436.8999999985,
FS(27),10693580.6499999985,
FS(28),10485062.7999999989,
FS(29),10869563.7999999989,
FS(30),11049983.4999999981,
FS(31),11280684.0999999996,
FS(32),11384203.5999999996,
FS(33),11325049.5999999978,
FS(34),11438921.0499999989,
FS(35),11483286.5499999989,
FS(36),11425611.4000000004,
FS(37),10973083.2999999989,
FS(38),11200826.1999999974,
FS(39),11273289.8499999996,
FS(40),11360541.9999999981,
FS(41),11653354.2999999989,
FS(42),11796802.7499999981,
FS(43),11816027.7999999989,
FS(44),11727296.7999999989,
FS(45),11826379.7499999981,
FS(46),11919547.2999999989,
FS(47),12113276.6499999985,
FS(48),12191655.6999999993,
FS(49),12184261.4499999993,
FS(50),12098488.1499999985,
FS(51),12114755.5000000000,
FS(52),12055601.4999999981,
FS(53),12169472.9499999993,
FS(54),12203486.4999999981,
FS(55),12114755.5000000000,
FS(56),11799760.4499999993,
FS(57),11795323.9000000004,
FS(58),11950603.1499999985,
FS(59),12082220.7999999989,
FS(60),12351371.4999999981,
FS(61),12517002.6999999993,
FS(62),12548058.5499999989,
FS(63),12521439.2500000000,
