初始資金,10000000
最後資金,10578509.9599999990
真實報酬,578509.9599999990

二次趨勢線,-346.6913343636x^2 + 33921.8171966477x + 10000000
加權每日預期報酬,23521.0771657404
風險,77300.3443113766
二次趨勢值,0.3042816610

平均每日預期報酬,1179.4507502857
風險,77300.3443113766
二次趨勢值,0.0152580271

一次趨勢線,28074.2900237154x + 10000000
每日預期報酬,28074.2900237154
風險,79796.8114364326
一次趨勢值,0.3518222034

投資組合檔數,1
Stock#,KO,
FS(1),10000000.0000000000,
FS(2),10057658.7999999989,
FS(3),9926965.5199999996,
FS(4),10046127.0399999991,
FS(5),10221025.3999999985,
FS(6),10319045.3599999994,
FS(7),10267152.4399999995,
FS(8),10224869.3200000003,
FS(9),10282528.1199999992,
FS(10),10184508.1600000001,
FS(11),10353640.6399999987,
FS(12),10457426.4799999986,
FS(13),10511241.3599999994,
FS(14),10355562.5999999996,
FS(15),10397845.7199999988,
FS(16),10472802.1600000001,
FS(17),10328655.1600000001,
FS(18),10482411.9599999990,
FS(19),10517007.2399999984,
FS(20),10591963.6799999997,
FS(21),10580431.9199999981,
FS(22),10578509.9599999990,
