初始資金,10000000
最後資金,10465331.0799999982
真實報酬,465331.0799999982

二次趨勢線,2717.0822722934x^2 + -34592.1289672113x + 10000000
加權每日預期報酬,50543.1155646484
風險,127079.0452545032
二次趨勢值,0.3977297395

平均每日預期報酬,1331.2106768622
風險,127079.0452545032
二次趨勢值,0.0104754539

一次趨勢線,13274.7672340425x + 10000000
每日預期報酬,13274.7672340425
風險,211651.7545786556
一次趨勢值,0.0627198544

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),9846047.1799999997,
FS(3),9901609.0999999996,
FS(4),9755759.0600000005,
FS(5),9848362.2599999998,
FS(6),9504572.8799999990,
FS(7),9950225.7799999993,
FS(8),9732608.2599999998,
FS(9),9987267.0600000005,
FS(10),10012732.9399999995,
FS(11),10049774.2199999988,
FS(12),10032411.1199999992,
FS(13),10128486.9399999995,
FS(14),9909711.8799999990,
FS(15),10097233.3599999994,
FS(16),10158582.9800000004,
FS(17),10363467.5600000005,
FS(18),10432919.9599999990,
FS(19),10268549.2799999993,
FS(20),10409769.1600000001,
FS(21),10509317.5999999996,
FS(22),10508160.0600000005,
FS(23),10465331.0799999982,
